name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Dave Kingman,Right,78,210,0.236,442,,R
Eric Soderholm,Right,71,187,0.264,102,,R
Kevin Mmahat,Left,77,220,0,0,,L
Ed Brinkman,Right,72,170,0.224,60,,R
Wayne Garrett,Left,71,175,0.239,61,,L
Tony Muser,Left,74,180,0.259,7,,L
Jim Siwy,Right,76,200,0,0,,R
Bud Anderson,Right,75,210,0,0,,R
Ted Ford,Right,70,180,0.219,17,,R
Kevin Stanfield,Left,72,190,0,0,,L
Jim Lyttle,Left,72,180,0.248,9,,L
John Butcher,Right,76,185,0,0,,R
Jerry Ujdur,Right,73,195,0,0,,R
Scot Thompson,Left,75,195,0.262,5,,L
Gene Locklear,Left,70,165,0.274,9,,L
Bo Diaz,Right,71,185,0.255,87,,R
Bump Wills,Both,69,172,0.266,36,,B
Brian Denman,Right,76,205,0,0,,R
Pat Putnam,Left,72,205,0.255,63,,L
Kurt Bevacqua,Right,72,180,0.236,27,,R
Bob Fallon,Left,75,200,0,0,,L
Syd O'Brien,Right,73,185,0.23,24,,R
Chris Chambliss,Left,73,195,0.279,185,,L
Tom Satriano,Left,73,185,0.225,21,,L
Jeffrey Leonard,Right,74,200,0.266,144,,R
Dal Maxvill,Right,71,157,0.217,6,,R
Steve Curry,Right,78,217,0,0,,R
Cesar Tovar,Right,69,155,0.278,46,,R
Mickey Lolich,Both,73,170,0.11,0,,B
Ray Chadwick,Both,74,180,0,0,,B
Jack Heidemann,Right,72,175,0.211,9,,R
Rich Rollins,Right,70,185,0.269,77,,R
Walt Bond,Left,79,228,0.256,41,,L
Merv Rettenmund,Right,70,190,0.271,66,,R
Bryan Clutterbuck,Right,76,223,0,0,,R
Byron Browne,Right,74,190,0.236,30,,R
Hector Torres,Right,72,175,0.216,18,,R
Walt Williams,Right,66,165,0.27,33,,R
Jerry Koosman,Right,74,205,0.119,2,,R
Steve Lombardozzi,Right,72,175,0.233,20,,R
Joe Azcue,Right,72,190,0.252,50,,R
Elliott Maddox,Right,71,180,0.261,18,,R
Omar Moreno,Left,74,180,0.252,37,,L
Julian Javier,Right,73,175,0.257,78,,R
Tony Ferreira,Left,73,160,0,0,,L
Elio Chacon,Right,69,160,0.232,4,,R
Rusty Torres,Both,70,175,0.212,35,,B
John Stearns,Right,72,185,0.26,46,,R
Larry Brown,Right,70,160,0.233,47,,R
Tommy Dean,Right,72,165,0.18,4,,R
Bryan Oelkers,Left,75,192,0,0,,L
Kevin Bearse,Left,74,195,0,0,,L
Marty Martinez,Both,72,170,0.243,0,,B
Bruce Boisclair,Left,74,185,0.263,10,,L
Ken Singleton,Both,76,210,0.282,246,,B
Frank White,Right,71,165,0.255,160,,R
Jim Fairey,Left,70,190,0.235,7,,L
Jose Roman,Right,72,175,0,0,,R
Tom Brookens,Right,70,165,0.246,71,,R
Gary Thomasson,Left,73,180,0.249,61,,L
Mike Trujillo,Right,73,180,0,0,,R
Albert Williams,Right,76,190,0,0,,R
Oswaldo Peraza,Right,76,172,0,0,,R
Otto Velez,Right,72,170,0.251,78,,R
Tony Scott,Both,72,164,0.249,17,,B
Ray Oyler,Right,71,165,0.175,15,,R
Barry Cort,Right,77,210,0,0,,R
Floyd Robinson,Left,69,175,0.283,67,,L
Steve Jeltz,Both,71,180,0.21,5,,B
Lou Brock,Left,71,170,0.293,149,,L
Bill Wilkinson,Right,70,160,0,0,,R
Joe Lovitto,Both,72,185,0.216,4,,B
Mike Loynd,Right,76,210,0,0,,R
Wayne Comer,Right,70,175,0.229,16,,R
Dave Collins,Both,71,175,0.272,32,,B
Ed Spiezio,Right,71,180,0.238,39,,R
Rico Petrocelli,Right,72,175,0.251,210,,R
Johnny Lewis,Left,73,189,0.227,22,,L
Dick Simpson,Right,76,176,0.207,15,,R
Ken Boswell,Left,72,170,0.248,31,,L
Ken McMullen,Right,75,190,0.248,156,,R
Randy Scarbery,Both,73,185,0,0,,B
Steve Swisher,Right,74,205,0.216,20,,R
Ben Callahan,Right,79,230,0,0,,R
Dick Howser,Right,68,155,0.248,16,,R
Manny Castillo,Both,69,160,0.242,3,,B
Mike Ramsey,Both,73,170,0.24,2,,B
Willie Crawford,Left,73,197,0.268,86,,L
Bobby Cuellar,Right,71,188,0,0,,R
Willie Norwood,Right,72,185,0.242,18,,R
Mike Jones,Left,78,215,0,0,,L
Jeff Stone,Left,72,175,0.277,11,,L
Ramon Manon,Right,72,150,0,0,,R
Joe Lahoud,Left,73,198,0.223,65,,L
Tim Flannery,Left,71,175,0.255,9,,L
Dave McKay,Both,73,195,0.229,21,,B
John Trautwein,Right,75,205,0,0,,R
Andy Replogle,Right,77,205,0,0,,R
Zach Crouch,Left,75,180,0,0,,L
Benny Ayala,Right,73,185,0.251,38,,R
Ron Romanick,Right,76,195,0,0,,R
Greg Gross,Left,70,160,0.287,7,,L
Bruce Tanner,Left,75,220,0,0,,L
Sal Butera,Right,72,190,0.227,8,,R
Jack Brohamer,Left,70,165,0.245,30,,L
Von Joshua,Left,70,170,0.273,30,,L
Eddie Milner,Left,71,173,0.253,42,,L
Johnny Jeter,Right,73,180,0.244,18,,R
Angel Salazar,Right,72,180,0.212,2,,R
Tony Oliva,Left,73,175,0.304,220,,L
Cito Gaston,Right,75,190,0.256,91,,R
Cookie Rojas,Right,70,160,0.263,54,,R
Rich Morales,Right,71,170,0.195,6,,R
Dave Ford,Right,76,190,0,0,,R
Dan Ford,Right,73,185,0.27,121,,R
Barry Raziano,Both,70,175,0,0,,B
Darryl Motley,Right,69,196,0.243,44,,R
Ozzie Virgil,Right,73,180,0.243,98,,R
Johnny Oates,Left,71,188,0.25,14,,L
Pat Underwood,Left,72,175,0,0,,L
Mike Phillips,Left,72,170,0.24,11,,L
Ron Santo,Right,72,190,0.277,342,,R
Jay Johnstone,Left,73,175,0.267,102,,L
Jim Ray Hart,Right,71,185,0.278,170,,R
Marc Hill,Right,75,205,0.223,34,,R
Joel McKeon,Left,72,185,0,0,,L
Danny Fife,Right,75,175,0,0,,R
Chico Salmon,Right,70,160,0.249,31,,R
Joe Niekro,Right,73,185,0.156,1,,R
Andy Etchebarren,Right,73,190,0.235,49,,R
Ken Berry,Right,72,175,0.255,58,,R
Dave Concepcion,Right,74,155,0.267,101,,R
Junior Moore,Right,71,185,0.264,7,,R
Mike Richardt,Right,72,170,0.226,4,,R
Chris Brown,Right,72,185,0.269,38,,R
Al Bumbry,Left,68,170,0.281,54,,L
Al Downing,Right,71,175,0.127,2,,R
Bob Didier,Both,72,190,0.229,0,,B
Jake Gibbs,Left,72,180,0.233,25,,L
Garry Hancock,Left,72,175,0.247,12,,L
Ed Kranepool,Left,75,205,0.261,118,,L
Rick Rhoden,Right,75,195,0.238,9,,R
Denny McLain,Right,73,185,0.133,1,,R
Chuck Hiller,Left,71,170,0.243,20,,L
Jorge Orta,Left,70,170,0.278,130,,L
Dave Cash,Right,71,170,0.283,21,,R
Bucky Dent,Right,69,170,0.247,40,,R
Andy Beene,Right,75,205,0,0,,R
Bruce Robbins,Left,73,190,0,0,,L
Tony Gonzalez,Left,69,170,0.286,103,,L
Leon Hooten,Right,71,180,0,0,,R
Larry Haney,Right,74,195,0.215,12,,R
Billy Conigliaro,Right,72,180,0.256,40,,R
Gary Roenicke,Right,75,205,0.247,121,,R
Don Lock,Right,74,195,0.238,122,,R
Billy Cowan,Right,72,170,0.236,40,,R
Billy Smith,Both,74,185,0.23,17,,B
Allan Ramirez,Right,70,180,0,0,,R
Tony Perez,Right,74,175,0.279,379,,R
Chuck Schilling,Right,70,160,0.239,23,,R
Hal McRae,Right,71,180,0.29,191,,R
Dave Roberts,Right,75,215,0.239,49,,R
Brian Allard,Right,73,175,0,0,,R
Jim Lefebvre,Both,72,180,0.251,74,,B
Fernando Arroyo,Right,74,180,0,0,,R
Gary Beare,Right,76,205,0,0,,R
Charlie Spikes,Right,75,215,0.246,65,,R
Brian Dubois,Left,70,165,0,0,,L
Steve Whitaker,Left,72,180,0.23,24,,L
Manny Jimenez,Left,73,185,0.272,26,,L
Chris Batton,Right,76,195,0,0,,R
Duffy Dyer,Right,72,187,0.221,30,,R
Ken Henderson,Both,74,180,0.257,122,,B
Vance Lovelace,Left,77,205,0,0,,L
Greg Thayer,Right,71,182,0,0,,R
Vern Fuller,Right,73,170,0.232,14,,R
Paul Hartzell,Right,77,200,0,0,,R
Wayne Gross,Left,74,210,0.233,121,,L
Mike Champion,Right,72,185,0.229,2,,R
Ralph Botting,Left,72,195,0,0,,L
Paul Casanova,Right,76,180,0.225,50,,R
Steve Rogers,Right,74,175,0.138,0,,R
Keith Creel,Right,74,180,0,0,,R
